#AVAILABLE,CITY,TYPE,RENT,BEDS,BATHS,PETS,SQ. FT.
"Now","SANFRANCISCO","Apartment","$2400","1","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2402","Studio","1.00","PetOK","533"
"Now","SANFRANCISCO","Apartment","$2405","2","1.00","PetOK","1000"
"Now","SANFRANCISCO","Apartment","$2408","2","1.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$2415","1","1.00","NoPets",""
"Now","SANFRANCISCO","Condo","$2415","1","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2437","1","1.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$2437","1","1.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$2437","1","1.00","Call","645"
"Now","SANFRANCISCO","Apartment","$2444","1","1.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$2445","Studio","1.00","CatOK",""
"Now","SANFRANCISCO","Apartment","$2450","1","1.00","PetOK","668"
"Now","SANFRANCISCO","Apartment","$2450","2","2.00","PetOK","1200"
"Now","SANFRANCISCO","Apartment","$2450","2","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2450","1","1.00","Call","650"
"Now","SANFRANCISCO","Apartment","$2450","1","1.00","PetOK","782"
"Now","SANFRANCISCO","Apartment","$2450","2","2.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$2450","2","1.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$2460","1","1.00","PetOK","723"
"Now","SANFRANCISCO","Apartment","$2475","1","1.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$2475","1","1.00","PetOK","756"
"Now","SANFRANCISCO","Apartment","$2485","1","1.00","PetOK","631"
"Now","SANFRANCISCO","Apartment","$2488","2","2.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$2494","1","1.00","PetOK","675"
"Now","SANFRANCISCO","Apartment","$2495","Studio","1.00","CatOK","557"
"Now","SANFRANCISCO","House","$2495","2","2.00","NoPets",""
"Now","SANFRANCISCO","Condo","$2495","1","1.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$2495","1","1.00","Call",""
"Now","SANFRANCISCO","Apartment","$2495","2","1.00","DogOK","950"
"Now","SANFRANCISCO","Apartment","$2495","1","1.00","WillConsider","875"
"Now","SANFRANCISCO","Guesthouse","$2500","2","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2500","Studio","1.00","Call","250"
"Now","SANFRANCISCO","Apartment","$2500","2","1.00","CatOK",""
"Now","SANFRANCISCO","Apartment","$2500","1","1.00","DogOK",""
"Now","SANFRANCISCO","Apartment","$2500","Studio","1.00","NoPets","494"
"Now","TWINPEAKS","Apartment","$2500","Studio","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2500","1","1.00","Call","400"
"Now","SANFRANCISCO","House","$2500","1","1.00","DogOK",""
"Now","THEMARINA","Apartment","$2500","1","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2500","1","1.00","Call","650"
"Now","SANFRANCISCO","Apartment","$2500","2","1.00","PetOK",""
"Now","SANFRANCISCO","Condo","$2500","2","2.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2505","1","1.00","PetOK","804"
"Now","SANFRANCISCO","Apartment","$2525","2","2.00","PetOK","1015"
"Now","SANFRANCISCO","Apartment","$2540","1","1.00","PetOK","746"
"Now","SANFRANCISCO","House","$2550","2","1.50","NoPets",""
"Now","SANFRANCISCO","Apartment","$2550","1","1.00","PetOK","850"
"Now","SANFRANCISCO","Apartment","$2550","1","1.00","Call","700"
"Now","SANFRANCISCO","Apartment","$2555","1","1.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$2559","1","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2565","1","1.00","PetOK","700"
"Now","SANFRANCISCO","Apartment","$2565","1","1.00","PetOK","500"
"Now","SANFRANCISCO","Apartment","$2565","1","1.00","PetOK","825"
"Now","SANFRANCISCO","Apartment","$2583","1","1.00","PetOK","645"
"Now","SANFRANCISCO","Apartment","$2585","1","1.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$2595","2","2.00","PetOK",""
"02/05/2012","SANFRANCISCO","Apartment","$2595","1","2.00","PetOK","1000"
"Now","SANFRANCISCO","Apartment","$2595","2","2.00","PetOK","1061"
"Now","SANFRANCISCO","Condo","$2595","2","2.00","PetOK","1061"
"Now","SANFRANCISCO","Apartment","$2595","1","1.00","DogOK","570"
"Now","SANFRANCISCO","Apartment","$2595","2","2.00","NoPets","1061"
"Now","SANFRANCISCO","Apartment","$2599","1","1.00","Call","925"
"Now","SANFRANCISCO","Apartment","$2600","1","1.00","NoPets",""
"Now","SANFRANCISCO","House","$2600","3","2.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2600","1","1.00","NoPets","450"
"Now","SANFRANCISCO","Apartment","$2600","Studio","1.00","Call",""
"Now","SANFRANCISCO","Apartment","$2600","3","2.50","NoPets",""
"Now","SANFRANCISCO","House","$2600","1","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2600","2","1.00","PetOK","900"
"Now","SANFRANCISCO","Apartment","$2600","2","2.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2600","2","1.00","Call",""
"Now","SANFRANCISCO","Apartment","$2605","1","1.00","PetOK","845"
"Now","SANFRANCISCO","Apartment","$2609","1","1.00","PetOK","664"
"Now","SANFRANCISCO","Apartment","$2610","2","2.00","DogOK","890"
"Now","SANFRANCISCO","Apartment","$2624","1","1.00","PetOK","664"
"Now","SANFRANCISCO","Apartment","$2624","1","1.00","PetOK","664"
"02/04/2012","SANFRANCISCO","Apartment","$2625","1","1.00","Call","665"
"Now","SANFRANCISCO","Apartment","$2645","1","1.00","WillConsider","875"
"Now","SANFRANCISCO","Apartment","$2650","1","1.00","PetOK",""
"Now","SANFRANCISCO","Condo","$2650","1","1.00","PetOK",""
"Now","THEOUTERRICHMOND","Condo","$2650","2","2.00","NoPets","1178"
"Now","SANFRANCISCO","Apartment","$2650","2","2.50","PetOK","1300"
"Now","SANFRANCSICO","Apartment","$2650","1","1.00","Call","600"
"Now","SANFRANCISCO","Apartment","$2650","1","1.00","CatOK",""
"Now","SANFRANCISCO","Apartment","$2650","1","1.00","DogOK",""
"Now","SANFRANCISCO","Apartment","$2665","1","1.00","PetOK","645"
"Now","SANFRANCISCO","Apartment","$2672","1","1.00","PetOK","725"
"Now","SANFRANCISCO","Apartment","$2674","1","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2675","1","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2675","1","1.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$2678","1","1.00","PetOK","725"
"Now","SANFRANCISCO","Apartment","$2681","1","1.00","PetOK","689"
"Now","SANFRANCISCO","Apartment","$2686","1","1.00","PetOK","874"
"Now","SANFRANCISCO","Apartment","$2687","1","1.00","PetOK","725"
"Now","SANFRANCISCO","Apartment","$2687","1","1.00","PetOK","725"
"Now","SANFRANCISCO","Apartment","$2691","1","1.00","PetOK","916"
"Now","SANFRANCISCO","Apartment","$2693","1","1.00","PetOK","564"
"Now","SANFRANCISCO","Condo","$2695","1","1.00","NoPets",""
"Now","SANFRANCISCO","Apartment","$2695","1","1.50","DogOK","950"
"Now","SANFRANCISCO","Apartment","$2695","1","1.00","PetOK","574"
"Now","SANFRANCISCO","Apartment","$2695","2","2.50","Call",""
"Now","SANFRANCISCO","House","$2695","4","1.50","NoPets","1500"
"Now","TWINPEAKS","Apartment","$2695","2","1.00","CatOK",""
"Now","SANFRANCISCO","Apartment","$2695","2","1.00","PetOK",""
"Now","SANFRANCISCO","Apartment","$2695","1","1.00","PetOK","574"
"Now","SANFRANCISCO","Apartment","$2700","1","1.00","DogOK","771"
"Now","SANFRANCISCO","Apartment","$2700","1","1.00","DogOK","854"
"Now","SANFRANCISCO","Apartment","$2700","Studio","1.00","PetOK","550"
